id,released,movie,genere,rating
683,1922,Thunder Strike,Comedy,3
684,1907,Thunder Strike,Romance,1
685,2015,Blazing Fury,Romance,3
686,1951,Blazing Fury,Sci-Fi,3
687,2005,Shadow Dance,Thriller,2
688,1900,Blazing Fury,Thriller,1
689,1903,Mystic Whirlwind,Adventure,3
690,2015,Blazing Fury,Comedy,4
691,1903,Thunder Strike,Thriller,3
692,1964,Blazing Fury,Romance,1
693,1924,Frostbite Slash,Romance,2
694,1996,Frostbite Slash,Horror,2
695,1968,Mystic Whirlwind,Sci-Fi,1
696,1903,Frostbite Slash,Horror,1
697,1997,Mystic Whirlwind,Adventure,2
698,1959,Mystic Whirlwind,Adventure,3
699,1992,Frostbite Slash,Romance,2
700,1996,Frostbite Slash,Romance,4
701,2022,Blazing Fury,Comedy,3
702,1965,Mystic Whirlwind,Romance,3
703,1975,Mystic Whirlwind,Animation,4
704,1994,Blazing Fury,Romance,1
705,1912,Blazing Fury,Sci-Fi,1
706,1986,Frostbite Slash,Animation,1
707,1980,Blazing Fury,Fantasy,2
708,1974,Frostbite Slash,Horror,2
709,1904,Blazing Fury,Adventure,4
710,1999,Shadow Dance,Drama,5
711,1926,Mystic Whirlwind,Thriller,3
712,1944,Frostbite Slash,Thriller,5
713,1912,Frostbite Slash,Sci-Fi,4
714,1965,Blazing Fury,Thriller,5
715,1974,Mystic Whirlwind,Horror,4
716,2007,Blazing Fury,Thriller,5
717,1965,Shadow Dance,Sci-Fi,3
718,1965,Frostbite Slash,Thriller,3
719,1906,Frostbite Slash,Horror,5
720,1988,Mystic Whirlwind,Romance,1
721,2009,Blazing Fury,Adventure,2
722,1900,Blazing Fury,Comedy,2
723,2010,Blazing Fury,Animation,3
724,1901,Blazing Fury,Drama,5
725,1930,Blazing Fury,Animation,4
726,1956,Frostbite Slash,Comedy,5
727,1964,Mystic Whirlwind,Horror,2
728,1999,Frostbite Slash,Animation,2
729,1972,Blazing Fury,Adventure,4
730,1921,Frostbite Slash,Romance,2
731,1976,Shadow Dance,Drama,3
732,1990,Blazing Fury,Horror,3
733,1924,Frostbite Slash,Sci-Fi,5
734,1994,Thunder Strike,Sci-Fi,4
735,1934,Mystic Whirlwind,Horror,4
736,1923,Thunder Strike,Comedy,4
737,1947,Mystic Whirlwind,Sci-Fi,1
738,1940,Thunder Strike,Drama,1
739,1952,Frostbite Slash,Fantasy,5
740,1937,Blazing Fury,Romance,2
741,1947,Frostbite Slash,Comedy,2
742,2006,Blazing Fury,Animation,2
743,1971,Blazing Fury,Adventure,3
744,1944,Frostbite Slash,Adventure,5
745,1932,Shadow Dance,Drama,3
746,1904,Shadow Dance,Fantasy,3
747,1973,Thunder Strike,Romance,4
748,1984,Frostbite Slash,Action,4
749,1991,Shadow Dance,Drama,2
750,1959,Thunder Strike,Comedy,5
751,1918,Blazing Fury,Action,2
752,1917,Thunder Strike,Thriller,3
753,1914,Shadow Dance,Animation,2
754,1952,Blazing Fury,Drama,1
755,1985,Shadow Dance,Fantasy,3
756,1926,Shadow Dance,Romance,1
757,2018,Frostbite Slash,Horror,3
758,1905,Mystic Whirlwind,Animation,5
759,1965,Frostbite Slash,Romance,5
760,1900,Mystic Whirlwind,Thriller,1
761,1924,Blazing Fury,Fantasy,3
762,2001,Frostbite Slash,Fantasy,4
763,1931,Mystic Whirlwind,Action,5
764,1931,Thunder Strike,Animation,2
765,1973,Blazing Fury,Horror,3
766,1901,Thunder Strike,Animation,5
767,1973,Mystic Whirlwind,Thriller,2
768,2020,Mystic Whirlwind,Horror,3
769,1911,Mystic Whirlwind,Horror,3
770,2011,Thunder Strike,Action,3
771,1995,Mystic Whirlwind,Animation,1
772,2021,Thunder Strike,Thriller,5
773,2016,Blazing Fury,Horror,5
774,1989,Thunder Strike,Adventure,1
775,2001,Shadow Dance,Romance,2
776,1910,Shadow Dance,Drama,5
777,1955,Frostbite Slash,Drama,5
778,1938,Blazing Fury,Fantasy,2
779,2006,Frostbite Slash,Drama,2
780,1913,Frostbite Slash,Adventure,5
781,1976,Blazing Fury,Adventure,4
782,1900,Blazing Fury,Animation,3
783,1930,Frostbite Slash,Animation,4
784,1973,Mystic Whirlwind,Drama,2
785,1923,Mystic Whirlwind,Romance,4
786,1967,Blazing Fury,Animation,5
787,1978,Frostbite Slash,Fantasy,5
788,1953,Shadow Dance,Horror,1
789,1985,Blazing Fury,Horror,4
790,1941,Thunder Strike,Fantasy,2
791,2000,Shadow Dance,Comedy,5
792,1935,Frostbite Slash,Fantasy,2
793,2018,Mystic Whirlwind,Adventure,2
794,1904,Shadow Dance,Adventure,3
795,1963,Blazing Fury,Drama,1
796,1928,Frostbite Slash,Animation,4
797,2016,Frostbite Slash,Fantasy,1
798,1956,Frostbite Slash,Romance,1
799,1947,Shadow Dance,Animation,2
800,1992,Thunder Strike,Action,3
